GEOID,poverty_estimate,poverty_population,pctpov,majority,plurality,white,black,asian,american_indian,hispanic,urban_rural
13275,8408,43827,19.18452095740069,White,White,57.61,36.24,0.13,0.05,3.71,5
13277,8987,38508,23.338007686714448,White,White,55.85,29.5,1.35,0,11.78,5
13279,6198,26593,23.30688527055992,White,White,60.24,25.55,0.91,0,11.69,5
13281,1657,10766,15.39104588519413,White,White,94.09,1.27,0.52,0,2.74,6
13283,1768,6432,27.487562189054728,White,White,72.05,26.37,0,0,1.32,6
13285,14500,68125,21.28440366972477,White,White,56.28,36.11,2.17,0,3.68,5
13287,2558,7618,33.578367025466,White,White,53.75,40.29,0.77,0,4.77,6
13289,1576,8162,19.308992893898555,White,White,55.05,42.85,0.21,0,0.72,4
13291,3272,22688,14.421720733427362,White,White,93.86,0.74,0.31,0,3.31,6
13293,5359,25581,20.949141941284548,White,White,67.21,27.14,0.45,0.76,2.31,5
13295,10892,67491,16.13844808937488,White,White,90.88,4.11,0.76,0.01,2.22,3
13297,10901,90201,12.08523187104356,White,White,74.64,17.63,1.36,0.03,4.39,2
13299,8213,32986,24.898441763172254,White,White,63.35,29.84,1.05,0.06,4.1,5
13301,1402,5224,26.837672281776413,Non-White,Black,37.49,61.11,0.6,0,0.47,6
13303,4116,18465,22.290820471161656,Non-White,Black,42.53,52.63,0.67,0,2.48,6
13305,4209,27498,15.306567750381847,White,White,71.17,20.24,0.61,0,6.26,5
13307,584,2606,22.409823484267076,White,White,51.84,37.2,0,0,8.74,6
13309,1977,7688,25.715400624349638,White,White,56.18,43.39,0,0,0.14,6
13311,3146,29072,10.821408915795267,White,White,92.3,1.46,0.58,0,3.25,6
13313,16355,102780,15.912628916131544,White,White,58.43,3.76,1.44,0,35.11,4
13315,1628,6720,24.226190476190474,White,White,58.51,35.48,0,0,4.66,6
13317,2294,9699,23.651922878647284,White,White,50.93,42.59,0.39,0,5.06,6
13319,2077,8880,23.38963963963964,White,White,56.7,38.95,0,0.06,2.87,6
13321,3847,20249,18.998469060200502,White,White,67.3,28.01,0.79,0.03,2.2,4
15001,30632,196381,15.598250339900499,Non-White,White,30.31,0.58,21.84,11.08,12.73,5
15003,79070,953141,8.295729592998308,Non-White,Asian,18.37,2.25,41.73,8.93,9.85,3
15005,6,60,10,Non-White,American Indian,22.73,3.03,21.21,27.27,3.03,4
15007,5752,70984,8.103234531725459,Non-White,Asian,29.52,0.4,31.07,8.04,11.05,5
15009,15189,163618,9.28320844894816,Non-White,White,30.23,0.46,28.79,10.4,11.33,4
16001,48513,447269,10.846492826464612,White,White,84.66,1.28,2.47,0.14,8.2,3
16003,494,4068,12.143559488692231,White,White,92.12,0.39,0,0.2,3.59,6
16005,13704,83612,16.389991867196095,White,White,83.68,0.69,1.75,0.16,8.61,4
16007,998,5924,16.846725185685347,White,White,92.92,0.88,0.67,0,4.28,6
16009,1558,9014,17.28422453960506,White,White,84.64,0.07,0.32,0.78,3.63,6
16011,5039,45080,11.17790594498669,White,White,73.73,0.28,0.57,0.05,17.99,5
16013,2797,22330,12.52575011195701,White,White,74.63,0.44,0.85,0.09,22.63,5
16015,787,7335,10.7293796864349,White,White,90.93,0.26,0.96,0,4.58,3
16017,6262,43020,14.556020455602045,White,White,93.08,0.22,0.68,0.12,3.1,5
16019,11856,113110,10.481831845106534,White,White,83.03,0.44,0.91,0.11,13.04,4
16021,2250,11671,19.27855368006169,White,White,90.35,0.53,0.89,0.55,4.98,6
16023,458,2539,18.038597873178418,White,White,94.73,0.15,0,0,5.11,4
16025,163,1048,15.553435114503817,White,White,98.09,0,0,0,1.62,5
16027,28722,214252,13.405709164908613,White,White,70.31,0.41,0.82,0.25,25.29,3
16029,602,6869,8.764012228854273,White,White,91.72,0,0.06,0,5.82,6
16031,3334,23378,14.261271280691249,White,White,69.84,0.22,0.59,0.02,27.21,5
16033,121,913,13.253012048192772,Non-White,Hispanic,46.11,0.77,0,0,48.52,6
16035,989,7739,12.779428866778652,White,White,90.25,0.53,0.4,0.23,4.23,6
16037,760,4133,18.388579724171304,White,White,89.21,0.12,0,0,4.2,6
16039,3959,25883,15.295753969787118,White,White,72.64,2.6,2.6,0.36,17.07,5
