projectIdentifier,subappType,subapplicationType
DR-1173-0020-R,Regular Project,Utility and Infrastructure Protection
DR-1033-0210-R,Regular Project,Flood Control
DR-1240-0005-R,Regular Project,Elevations
DR-1044-M057-M,Management Costs,Management Costs and Technical Assistance
DR-0955-0069-R,Regular Project,Flood Control
DR-1005-0042-R,Regular Project,Wildfire Mitigation
DR-1005-0004-R,Regular Project,Warning Systems
DR-1005-0003-R,Regular Project,Wildfire Mitigation
DR-1001-0022-R,Regular Project,Acquisitions
DR-1134-0093-R,Regular Project,Acquisitions
DR-1144-0012-R,Regular Project,Flood Control
DR-1033-0090-F,HMGP 5% Initiative,Other Equipment
DR-1033-0062-R,Regular Project,Other Equipment
DR-1044-M008-M,Management Costs,Management Costs and Technical Assistance
DR-1000-0017-R,Regular Project,Acquisitions
DR-1005-0019-R,Regular Project,Wildfire Mitigation
DR-1063-0008-R,Regular Project,Shoreline Stabilization
DR-1069-0080-R,Regular Project,Flood Control
DR-1135-0027-R,Regular Project,Acquisitions
DR-1005-0001-R,Regular Project,Codes and Standards
DR-1000-0025-R,Regular Project,Flood Control
DR-0995-0018-R,Regular Project,Acquisitions
DR-1134-0049-R,Regular Project,Utility and Infrastructure Protection
DR-1069-0069-R,Regular Project,Wind Retrofit
DR-1134-0061-R,Regular Project,"Feasibility, Engineering, and Design Studies"
DR-1163-0007-R,Regular Project,Acquisitions
DR-1134-0024-F,HMGP 5% Initiative,Acquisitions
DR-1044-M010-M,Management Costs,Management Costs and Technical Assistance
DR-1046-M009-M,Management Costs,Management Costs and Technical Assistance
DR-1046-M014-M,Management Costs,Management Costs and Technical Assistance
DR-0966-0005-R,Regular Project,Acquisitions
DR-1046-M054-M,Management Costs,Management Costs and Technical Assistance
DR-1034-0005-F,HMGP 5% Initiative,Warning Systems
DR-1000-0011-R,Regular Project,Acquisitions
DR-1046-M051-M,Management Costs,Management Costs and Technical Assistance
DR-1134-0026-R,Regular Project,Utility and Infrastructure Protection
DR-1044-M051-M,Management Costs,Management Costs and Technical Assistance
DR-1044-M059-M,Management Costs,Management Costs and Technical Assistance
DR-1046-M060-M,Management Costs,Management Costs and Technical Assistance
DR-1046-M053-M,Management Costs,Management Costs and Technical Assistance
DR-1044-M053-M,Management Costs,Management Costs and Technical Assistance
DR-1044-M052-M,Management Costs,Management Costs and Technical Assistance
DR-1044-M055-M,Management Costs,Management Costs and Technical Assistance
DR-1250-0016-R,Regular Project,Flood Control
DR-1044-M038-M,Management Costs,Management Costs and Technical Assistance
DR-1046-M052-M,Management Costs,Management Costs and Technical Assistance
DR-1046-M055-M,Management Costs,Management Costs and Technical Assistance
DR-1046-M049-M,Management Costs,Management Costs and Technical Assistance
DR-1044-M054-M,Management Costs,Management Costs and Technical Assistance
DR-1044-M056-M,Management Costs,Management Costs and Technical Assistance
DR-1046-M037-M,Management Costs,Management Costs and Technical Assistance
DR-1044-M039-M,Management Costs,Management Costs and Technical Assistance
DR-1044-M061-M,Management Costs,Management Costs and Technical Assistance
DR-1044-M062-M,Management Costs,Management Costs and Technical Assistance
DR-1046-M036-M,Management Costs,Management Costs and Technical Assistance
DR-1046-M050-M,Management Costs,Management Costs and Technical Assistance
DR-1044-M058-M,Management Costs,Management Costs and Technical Assistance
DR-1046-M059-M,Management Costs,Management Costs and Technical Assistance
DR-1046-M058-M,Management Costs,Management Costs and Technical Assistance
DR-1046-M006-M,Management Costs,Management Costs and Technical Assistance
DR-1174-0011-R,Regular Project,Flood Control
DR-0848-0003-F,HMGP 5% Initiative,Warning Systems
DR-0844-0009-R,Regular Project,Other
DR-0956-0004-R,Regular Project,Flood Control
DR-1099-0006-R,Regular Project,Acquisitions
DR-1164-0023-R,Regular Project,Acquisitions
DR-1069-0015-R,Regular Project,Utility and Infrastructure Protection
DR-0935-M001-M,Management Costs,Management Costs and Technical Assistance
DR-1001-0004-R,Regular Project,Utility and Infrastructure Protection
DR-1130-0003-R,Regular Project,Acquisitions
DR-1146-2018-R,Regular Project,Utility and Infrastructure Protection
DR-1005-0057-R,Regular Project,Wildfire Mitigation
DR-0889-0004-R,Regular Project,Warning Systems
DR-1044-M060-M,Management Costs,Management Costs and Technical Assistance
DR-1134-0038-F,HMGP 5% Initiative,Mitigation Planning
DR-1044-M037-M,Management Costs,Management Costs and Technical Assistance
DR-0999-0018-R,Regular Project,Utility and Infrastructure Protection
DR-1033-0129-R,Regular Project,Acquisitions
DR-0995-0019-R,Regular Project,Acquisitions
DR-1173-0011-R,Regular Project,Utility and Infrastructure Protection
DR-0913-0012-R,Regular Project,Shoreline Stabilization
DR-1046-M057-M,Management Costs,Management Costs and Technical Assistance
DR-1175-0056-F,HMGP 5% Initiative,"Feasibility, Engineering, and Design Studies"
DR-1134-0091-R,Regular Project,Elevations
DR-0974-0207-R,Regular Project,Other
DR-1134-0051-R,Regular Project,"Feasibility, Engineering, and Design Studies"
DR-1044-M011-M,Management Costs,Management Costs and Technical Assistance
DR-1044-M013-M,Management Costs,Management Costs and Technical Assistance
DR-1134-0089-R,Regular Project,Utility and Infrastructure Protection
DR-1099-0014-R,Regular Project,Acquisitions
DR-1046-M010-M,Management Costs,Management Costs and Technical Assistance
DR-0996-0008-R,Regular Project,Acquisitions
DR-1134-0056-R,Regular Project,"Feasibility, Engineering, and Design Studies"
DR-1240-0002-R,Regular Project,Elevations
DR-1033-0121-R,Regular Project,Flood Control
DR-1173-0024-R,Regular Project,Relocations
DR-1250-0001-F,HMGP 5% Initiative,Warning Systems
DR-1254-0001-R,Regular Project,Acquisitions
DR-1134-0102-F,HMGP 5% Initiative,Utility and Infrastructure Protection
DR-1134-0065-F,HMGP 5% Initiative,Warning Systems
DR-1134-0067-R,Regular Project,Utility and Infrastructure Protection
DR-1046-M013-M,Management Costs,Management Costs and Technical Assistance
DR-1134-0031-F,HMGP 5% Initiative,Mitigation Planning
DR-1074-0002-R,Regular Project,Utility and Infrastructure Protection
DR-1044-M014-M,Management Costs,Management Costs and Technical Assistance
DR-1071-0010-F,HMGP 5% Initiative,Warning Systems
DR-1060-0001-R,Regular Project,Acquisitions
DR-1176-0005-R,Regular Project,Seismic Retrofit
DR-1230-0019-R,Regular Project,Acquisitions
DR-1001-0012-R,Regular Project,Flood Control
DR-1001-0006-R,Regular Project,Other Equipment
DR-0845-0137-R,Regular Project,Utility and Infrastructure Protection
DR-1174-5004-F,HMGP 5% Initiative,Miscellaneous
DR-1044-M016-M,Management Costs,Management Costs and Technical Assistance
DR-1046-M019-M,Management Costs,Management Costs and Technical Assistance
DR-1046-M038-M,Management Costs,Management Costs and Technical Assistance
DR-1044-M032-M,Management Costs,Management Costs and Technical Assistance
DR-1046-M061-M,Management Costs,Management Costs and Technical Assistance
DR-1046-M016-M,Management Costs,Management Costs and Technical Assistance
DR-1174-0058-R,Regular Project,Acquisitions
DR-1044-M024-M,Management Costs,Management Costs and Technical Assistance
DR-1044-M036-M,Management Costs,Management Costs and Technical Assistance
DR-1046-M045-M,Management Costs,Management Costs and Technical Assistance
DR-0999-0006-R,Regular Project,Flood Control
DR-1096-0004-R,Regular Project,Acquisitions
DR-1250-0004-R,Regular Project,Acquisitions
DR-1044-M029-M,Management Costs,Management Costs and Technical Assistance
DR-1174-0057-R,Regular Project,Acquisitions
DR-1044-M023-M,Management Costs,Management Costs and Technical Assistance
DR-1046-M021-M,Management Costs,Management Costs and Technical Assistance
DR-1044-M017-M,Management Costs,Management Costs and Technical Assistance
DR-1046-M043-M,Management Costs,Management Costs and Technical Assistance
DR-1046-M044-M,Management Costs,Management Costs and Technical Assistance
DR-1099-0031-R,Regular Project,Flood Control
DR-1044-M031-M,Management Costs,Management Costs and Technical Assistance
DR-1134-0055-R,Regular Project,Acquisitions
DR-0993-0013-R,Regular Project,Flood Control
DR-0996-0031-R,Regular Project,Acquisitions
DR-1044-M009-M,Management Costs,Management Costs and Technical Assistance
DR-1046-M033-M,Management Costs,Management Costs and Technical Assistance
DR-1046-M030-M,Management Costs,Management Costs and Technical Assistance
DR-1005-M001-M,Management Costs,Management Costs and Technical Assistance
DR-1134-0099-R,Regular Project,Utility and Infrastructure Protection
DR-1134-0066-R,Regular Project,Acquisitions
DR-1093-0102-R,Regular Project,Acquisitions
DR-1134-0110-R,Regular Project,Utility and Infrastructure Protection
DR-1134-0020-R,Regular Project,Utility and Infrastructure Protection
DR-1134-0045-R,Regular Project,Acquisitions
DR-1046-M028-M,Management Costs,Management Costs and Technical Assistance
DR-1134-0033-F,HMGP 5% Initiative,Mitigation Planning
DR-1044-M012-M,Management Costs,Management Costs and Technical Assistance
DR-1173-0023-R,Regular Project,Relocations
DR-1173-0025-R,Regular Project,Utility and Infrastructure Protection
DR-1171-0002-R,Regular Project,Acquisitions
DR-1046-M012-M,Management Costs,Management Costs and Technical Assistance
DR-1046-M008-M,Management Costs,Management Costs and Technical Assistance
DR-1044-M015-M,Management Costs,Management Costs and Technical Assistance
DR-1046-M020-M,Management Costs,Management Costs and Technical Assistance
DR-1044-M018-M,Management Costs,Management Costs and Technical Assistance
DR-1046-M017-M,Management Costs,Management Costs and Technical Assistance
DR-1046-M018-M,Management Costs,Management Costs and Technical Assistance
DR-1174-0059-R,Regular Project,Acquisitions
DR-1250-0027-R,Regular Project,Safe Room/Wind Shelter
DR-1134-0047-R,Regular Project,Acquisitions
DR-0923-0002-R,Regular Project,Shoreline Stabilization
DR-1046-M022-M,Management Costs,Management Costs and Technical Assistance
DR-1046-M034-M,Management Costs,Management Costs and Technical Assistance
DR-1044-M035-M,Management Costs,Management Costs and Technical Assistance
DR-1005-0100-R,Regular Project,Wildfire Mitigation
DR-1044-M028-M,Management Costs,Management Costs and Technical Assistance
DR-1046-M026-M,Management Costs,Management Costs and Technical Assistance
DR-1044-M033-M,Management Costs,Management Costs and Technical Assistance
DR-0889-0007-F,HMGP 5% Initiative,Warning Systems
DR-1074-0017-R,Regular Project,Wind Retrofit
DR-1046-M035-M,Management Costs,Management Costs and Technical Assistance
DR-1096-0013-R,Regular Project,Acquisitions
DR-1060-0002-R,Regular Project,Utility and Infrastructure Protection
DR-1052-M001-M,Management Costs,Management Costs and Technical Assistance
DR-0973-0020-R,Regular Project,"Feasibility, Engineering, and Design Studies"
DR-0973-0027-R,Regular Project,Flood Control
DR-0866-0005-R,Regular Project,Flood Control
DR-0866-0003-R,Regular Project,Flood Control
DR-1174-0018-R,Regular Project,Acquisitions
DR-1046-1012-R,Regular Project,Utility and Infrastructure Protection
DR-1174-0002-R,Regular Project,Acquisitions
DR-0866-0006-R,Regular Project,Flood Control
DR-0973-0024-R,Regular Project,Warning Systems
DR-1135-0117-R,Regular Project,Miscellaneous
DR-1171-0003-R,Regular Project,Acquisitions
DR-1134-0101-R,Regular Project,Utility and Infrastructure Protection
DR-0824-0004-R,Regular Project,Acquisitions
DR-0991-0016-R,Regular Project,Acquisitions
DR-0920-0007-R,Regular Project,Shoreline Stabilization
DR-1134-0068-R,Regular Project,Acquisitions
DR-1134-0019-R,Regular Project,Utility and Infrastructure Protection
DR-1050-0008-R,Regular Project,Utility and Infrastructure Protection
DR-1134-0082-F,HMGP 5% Initiative,Other Equipment
DR-1134-0046-R,Regular Project,Acquisitions
DR-1044-M030-M,Management Costs,Management Costs and Technical Assistance
DR-0824-0002-R,Regular Project,Warning Systems
DR-1046-M011-M,Management Costs,Management Costs and Technical Assistance
DR-1055-0014-R,Regular Project,Acquisitions
DR-1093-0106-R,Regular Project,Other
DR-0961-0005-R,Regular Project,Wind Retrofit
DR-0955-0381-R,Regular Project,Wind Retrofit
DR-1150-0004-R,Regular Project,Miscellaneous
DR-1044-M019-M,Management Costs,Management Costs and Technical Assistance
DR-1044-M022-M,Management Costs,Management Costs and Technical Assistance
DR-1046-M015-M,Management Costs,Management Costs and Technical Assistance
DR-1160-0020-R,Regular Project,Acquisitions
DR-1240-0009-F,HMGP 5% Initiative,Mitigation Planning
DR-1044-M020-M,Management Costs,Management Costs and Technical Assistance
DR-1044-M021-M,Management Costs,Management Costs and Technical Assistance
DR-1044-M040-M,Management Costs,Management Costs and Technical Assistance
DR-0996-0014-R,Regular Project,Acquisitions
DR-0999-0014-R,Regular Project,Flood Control
DR-1254-0004-M,Management Costs,Management Costs and Technical Assistance
DR-1046-M031-M,Management Costs,Management Costs and Technical Assistance
DR-0973-0023-R,Regular Project,Other
DR-0974-0206-R,Regular Project,Flood Control
DR-0845-0027-R,Regular Project,Generators
DR-1005-0013-R,Regular Project,Education and Awareness
DR-1173-0013-R,Regular Project,Utility and Infrastructure Protection
DR-1005-0031-R,Regular Project,Education and Awareness
DR-0847-0006-R,Regular Project,"Feasibility, Engineering, and Design Studies"
DR-0975-0005-R,Regular Project,Flood Control
DR-1062-0007-R,Regular Project,Wind Retrofit
DR-0955-0486-R,Regular Project,Other
DR-1000-0014-R,Regular Project,Acquisitions
DR-1025-0007-R,Regular Project,Acquisitions
DR-0961-0010-R,Regular Project,Floodproofing
DR-1112-0001-R,Regular Project,Acquisitions
DR-0845-0026-R,Regular Project,Generators
DR-1174-0023-R,Regular Project,Acquisitions
DR-0845-0025-R,Regular Project,Generators
DR-1173-0012-R,Regular Project,Utility and Infrastructure Protection
DR-0872-0001-R,Regular Project,Wildfire Mitigation
DR-1063-0009-R,Regular Project,Shoreline Stabilization
DR-1005-0010-R,Regular Project,Wildfire Mitigation
DR-1134-0007-R,Regular Project,Elevations
DR-1100-0009-R,Regular Project,Elevations
DR-1034-0001-R,Regular Project,Acquisitions
DR-1070-0010-R,Regular Project,Acquisitions
DR-1005-0009-R,Regular Project,Wildfire Mitigation
DR-1102-0030-R,Regular Project,Acquisitions
DR-0995-0022-R,Regular Project,Acquisitions
DR-1093-0060-R,Regular Project,Acquisitions
DR-1071-0011-F,HMGP 5% Initiative,Warning Systems
DR-0955-0513-R,Regular Project,Wind Retrofit
DR-0995-0029-R,Regular Project,Acquisitions
DR-1175-0014-R,Regular Project,Acquisitions
DR-1095-1227-R,Regular Project,Shoreline Stabilization
DR-1167-M003-M,Management Costs,Management Costs and Technical Assistance
DR-1159-0013-R,Regular Project,Elevations
DR-1137-0004-R,Regular Project,Acquisitions
DR-1095-1306-R,Regular Project,Acquisitions
DR-0995-0011-R,Regular Project,Acquisitions
DR-1022-0001-R,Regular Project,Acquisitions
DR-1052-0002-R,Regular Project,Flood Control
DR-0999-M002-M,Management Costs,Management Costs and Technical Assistance
DR-0955-0515-R,Regular Project,Wind Retrofit
DR-1063-0011-F,HMGP 5% Initiative,Other Equipment
DR-1033-0108-R,Regular Project,Flood Control
DR-0955-0516-R,Regular Project,Wind Retrofit
DR-1005-0059-R,Regular Project,Wildfire Mitigation
DR-0973-0053-F,HMGP 5% Initiative,Elevations
DR-0973-0047-R,Regular Project,Education and Awareness
DR-1173-0010-R,Regular Project,Utility and Infrastructure Protection
DR-1159-0019-R,Regular Project,Flood Control
DR-0995-0041-R,Regular Project,Acquisitions
DR-0993-0012-R,Regular Project,Acquisitions
DR-1005-0027-R,Regular Project,Education and Awareness
DR-0935-0010-R,Regular Project,Education and Awareness
DR-1033-0142-F,HMGP 5% Initiative,Relocations
DR-1000-0018-R,Regular Project,Acquisitions
DR-1096-0008-R,Regular Project,Acquisitions
DR-0955-0380-R,Regular Project,Wind Retrofit
DR-1112-0004-R,Regular Project,Acquisitions
DR-0955-0492-R,Regular Project,Wind Retrofit
DR-1070-0019-R,Regular Project,Acquisitions
DR-0973-0032-R,Regular Project,Flood Control
DR-1242-0011-R,Regular Project,Miscellaneous
DR-1175-0007-R,Regular Project,Utility and Infrastructure Protection
DR-1033-0138-R,Regular Project,Acquisitions
DR-1062-0010-R,Regular Project,Acquisitions
DR-1135-0041-F,HMGP 5% Initiative,Education and Awareness
DR-0955-0487-R,Regular Project,Wind Retrofit
DR-1159-0018-R,Regular Project,Flood Control
DR-0847-0007-F,HMGP 5% Initiative,"Feasibility, Engineering, and Design Studies"
DR-1063-0012-R,Regular Project,Flood Control
DR-1033-0147-R,Regular Project,Flood Control
DR-1175-0069-R,Regular Project,Utility and Infrastructure Protection
DR-1033-0074-F,HMGP 5% Initiative,Other Equipment
DR-1095-1004-R,Regular Project,Utility and Infrastructure Protection
DR-1005-0026-R,Regular Project,Wildfire Mitigation
DR-1129-0124-R,Regular Project,Acquisitions
DR-1005-0006-R,Regular Project,Miscellaneous
DR-1005-0028-R,Regular Project,Wildfire Mitigation
DR-1099-0022-R,Regular Project,Relocations
DR-1005-0012-R,Regular Project,Wildfire Mitigation
DR-1095-1018-R,Regular Project,Landslide Stabilization
DR-1044-0006-R,Regular Project,Flood Control
DR-1154-0002-R,Regular Project,Acquisitions
DR-1070-0007-R,Regular Project,Utility and Infrastructure Protection
DR-1099-0004-R,Regular Project,Floodproofing
DR-1120-0011-R,Regular Project,Acquisitions
DR-0995-0015-R,Regular Project,Acquisitions
DR-0867-0004-R,Regular Project,Acquisitions
DR-0944-0003-F,HMGP 5% Initiative,"Feasibility, Engineering, and Design Studies"
DR-0955-0382-R,Regular Project,Wind Retrofit
DR-1059-0002-R,Regular Project,Acquisitions
DR-1148-3035-R,Regular Project,Acquisitions
DR-1171-M003-M,Management Costs,Management Costs and Technical Assistance
DR-1150-0001-R,Regular Project,Acquisitions
DR-1099-0003-F,HMGP 5% Initiative,Warning Systems
DR-1100-0013-R,Regular Project,Acquisitions
DR-1100-0015-R,Regular Project,Acquisitions
DR-1159-0023-F,HMGP 5% Initiative,Generators
DR-0837-0005-R,Regular Project,Other Equipment
DR-1062-0011-R,Regular Project,Utility and Infrastructure Protection
DR-0995-0037-R,Regular Project,Acquisitions
DR-1099-0029-F,HMGP 5% Initiative,Flood Control
DR-1173-0009-R,Regular Project,Flood Control
DR-1070-0016-R,Regular Project,Elevations
DR-1168-0004-R,Regular Project,Acquisitions
DR-1175-0001-R,Regular Project,Acquisitions
DR-0961-0011-R,Regular Project,Wind Retrofit
DR-1134-0009-R,Regular Project,Acquisitions
DR-1079-0016-R,Regular Project,Acquisitions
DR-0883-0019-R,Regular Project,Acquisitions
DR-0973-0054-F,HMGP 5% Initiative,"Feasibility, Engineering, and Design Studies"
DR-1067-0009-R,Regular Project,Utility and Infrastructure Protection
DR-1019-0004-R,Regular Project,Acquisitions
DR-1044-0018-R,Regular Project,Flood Control
DR-0991-0015-R,Regular Project,Flood Control
DR-1063-0002-R,Regular Project,Flood Control
DR-1150-0002-R,Regular Project,Acquisitions
DR-1063-0005-R,Regular Project,Flood Control
DR-1159-0005-R,Regular Project,Acquisitions
DR-0999-0016-R,Regular Project,Other Equipment
DR-1159-0007-R,Regular Project,Acquisitions
DR-1153-0006-R,Regular Project,Elevations
DR-1148-3042-R,Regular Project,Acquisitions
DR-0847-0001-R,Regular Project,Warning Systems
DR-1134-0005-R,Regular Project,Acquisitions
DR-0852-0014-R,Regular Project,Flood Control
DR-1154-M001-M,Management Costs,Management Costs and Technical Assistance
DR-1135-M001-M,Management Costs,Management Costs and Technical Assistance
DR-1033-0154-F,HMGP 5% Initiative,Warning Systems
DR-0999-0003-R,Regular Project,Flood Control
DR-0843-0024-R,Regular Project,Generators
DR-1135-0040-F,HMGP 5% Initiative,Wind Retrofit
DR-1022-M002-M,Management Costs,Management Costs and Technical Assistance
DR-1175-0010-R,Regular Project,Acquisitions
DR-1098-0004-F,HMGP 5% Initiative,"Feasibility, Engineering, and Design Studies"
DR-0866-0011-R,Regular Project,Utility and Infrastructure Protection
DR-1063-0004-R,Regular Project,Flood Control
DR-1067-0010-R,Regular Project,Utility and Infrastructure Protection
DR-0828-0002-R,Regular Project,Flood Control
DR-1099-0023-R,Regular Project,Acquisitions
DR-1129-0004-R,Regular Project,Acquisitions
DR-0883-0011-R,Regular Project,Flood Control
DR-1005-0054-R,Regular Project,Wildfire Mitigation
DR-0828-0003-R,Regular Project,Flood Control
DR-0944-0001-R,Regular Project,Mitigation Planning
DR-1175-0009-R,Regular Project,Acquisitions
DR-1070-0003-R,Regular Project,Acquisitions
DR-1070-0015-R,Regular Project,Acquisitions
DR-1095-1119-R,Regular Project,Flood Control
DR-1096-0007-R,Regular Project,Acquisitions
DR-1153-0005-R,Regular Project,Elevations
DR-1098-M001-M,Management Costs,Management Costs and Technical Assistance
DR-1079-0006-R,Regular Project,Acquisitions
DR-0852-0002-R,Regular Project,Flood Control
DR-1079-0004-R,Regular Project,Acquisitions
DR-0847-0004-R,Regular Project,Other
DR-0847-0002-R,Regular Project,Warning Systems
DR-1062-0006-F,HMGP 5% Initiative,Flood Control
DR-0942-0001-R,Regular Project,Wildfire Mitigation
DR-1005-0082-R,Regular Project,Wildfire Mitigation
DR-0935-0002-R,Regular Project,Education and Awareness
DR-0845-0047-R,Regular Project,Generators
DR-1005-0092-R,Regular Project,Wildfire Mitigation
DR-0993-0026-R,Regular Project,Acquisitions
DR-1230-0006-R,Regular Project,Acquisitions
DR-1033-0027-F,HMGP 5% Initiative,Other Equipment
DR-1242-0002-R,Regular Project,Wind Retrofit
DR-1005-0008-R,Regular Project,Wildfire Mitigation
DR-0995-0036-R,Regular Project,Acquisitions
DR-1171-M001-M,Management Costs,Management Costs and Technical Assistance
DR-1000-0005-R,Regular Project,Acquisitions
DR-0955-0378-R,Regular Project,Wind Retrofit
DR-0955-0379-R,Regular Project,Wind Retrofit
DR-1005-0093-R,Regular Project,Education and Awareness
DR-0935-0004-R,Regular Project,Flood Control
DR-1033-0173-F,HMGP 5% Initiative,Warning Systems
DR-1120-0013-R,Regular Project,Acquisitions
DR-1033-0078-R,Regular Project,Utility and Infrastructure Protection
DR-1062-0013-R,Regular Project,Utility and Infrastructure Protection
DR-1005-0043-R,Regular Project,Wildfire Mitigation
DR-1005-0044-R,Regular Project,Education and Awareness
DR-0998-0010-R,Regular Project,Flood Control
DR-1173-0005-R,Regular Project,Utility and Infrastructure Protection
DR-1052-0003-R,Regular Project,Utility and Infrastructure Protection
DR-1053-1027-R,Regular Project,Acquisitions
DR-1173-0015-R,Regular Project,Safe Room/Wind Shelter
DR-1070-0024-R,Regular Project,Flood Control
DR-1033-0123-R,Regular Project,Acquisitions
DR-1033-0073-F,HMGP 5% Initiative,Other Equipment
DR-1137-0015-R,Regular Project,Miscellaneous
DR-1033-0045-F,HMGP 5% Initiative,Warning Systems
DR-1134-0035-F,HMGP 5% Initiative,Mitigation Planning
DR-1022-M001-M,Management Costs,Management Costs and Technical Assistance
DR-1175-0055-R,Regular Project,Wind Retrofit
DR-1000-0013-R,Regular Project,Acquisitions
DR-1250-0024-R,Regular Project,Acquisitions
DR-1100-0010-R,Regular Project,Acquisitions
DR-0961-0014-R,Regular Project,Wind Retrofit
DR-0866-0004-R,Regular Project,Flood Control
DR-0938-0003-R,Regular Project,Other
DR-1148-3040-R,Regular Project,Acquisitions
DR-1005-0060-R,Regular Project,Wildfire Mitigation
DR-0847-0005-R,Regular Project,Other Equipment
DR-0973-0025-R,Regular Project,Education and Awareness
DR-1104-0003-R,Regular Project,Acquisitions
DR-1063-0001-R,Regular Project,Codes and Standards
DR-0996-0084-R,Regular Project,Acquisitions
DR-1062-0003-R,Regular Project,Other Equipment
DR-1071-0004-R,Regular Project,Acquisitions
DR-0874-0004-R,Regular Project,Utility and Infrastructure Protection
DR-0847-0003-R,Regular Project,Education and Awareness
DR-1069-0046-F,HMGP 5% Initiative,Other Equipment
DR-0975-0004-R,Regular Project,Shoreline Stabilization
DR-1148-3044-R,Regular Project,Acquisitions
DR-0991-0013-R,Regular Project,Flood Control
DR-1095-1199-R,Regular Project,Flood Control
DR-1059-M001-M,Management Costs,Management Costs and Technical Assistance
DR-0999-0007-R,Regular Project,Utility and Infrastructure Protection
DR-0999-0009-R,Regular Project,Shoreline Stabilization
DR-0996-0083-R,Regular Project,Acquisitions
DR-1253-0005-R,Regular Project,Acquisitions
DR-0999-M001-M,Management Costs,Management Costs and Technical Assistance
DR-1130-0007-R,Regular Project,Flood Control
DR-0996-0091-R,Regular Project,Flood Control
DR-1052-0005-R,Regular Project,Flood Control
DR-1052-0007-R,Regular Project,Utility and Infrastructure Protection
DR-1033-0181-F,HMGP 5% Initiative,Other Equipment
DR-1025-0014-R,Regular Project,Acquisitions
DR-1052-0009-R,Regular Project,Utility and Infrastructure Protection
DR-1173-0008-R,Regular Project,Utility and Infrastructure Protection
DR-1153-0013-R,Regular Project,Education and Awareness
DR-1132-0007-R,Regular Project,Other
DR-1134-0030-R,Regular Project,Acquisitions
DR-1055-0017-F,HMGP 5% Initiative,Warning Systems
DR-1167-M002-M,Management Costs,Management Costs and Technical Assistance
DR-1134-0071-R,Regular Project,Other Equipment
DR-1242-0003-R,Regular Project,Wind Retrofit
DR-1134-0053-R,Regular Project,Wind Retrofit
DR-1250-0010-R,Regular Project,Acquisitions
DR-1100-M001-M,Management Costs,Management Costs and Technical Assistance
DR-1173-5001-R,Regular Project,Other Equipment
DR-1052-0011-R,Regular Project,Utility and Infrastructure Protection
DR-1115-0015-R,Regular Project,Other
DR-1063-M001-M,Management Costs,Management Costs and Technical Assistance
DR-1258-0008-R,Regular Project,Safe Room/Wind Shelter
DR-0999-0020-R,Regular Project,Utility and Infrastructure Protection
DR-1250-0021-R,Regular Project,Acquisitions
DR-1175-0043-F,HMGP 5% Initiative,Generators
DR-1250-0015-R,Regular Project,"Feasibility, Engineering, and Design Studies"
DR-1175-0070-R,Regular Project,Utility and Infrastructure Protection
DR-1240-0013-F,HMGP 5% Initiative,Mitigation Planning
DR-1175-0034-R,Regular Project,Wind Retrofit
DR-1250-0020-R,Regular Project,Acquisitions
DR-1033-0193-F,HMGP 5% Initiative,Other Equipment
DR-1175-0072-R,Regular Project,Utility and Infrastructure Protection
DR-1033-0127-F,HMGP 5% Initiative,Other Equipment
DR-0998-0002-R,Regular Project,Acquisitions
DR-1134-0127-R,Regular Project,Acquisitions
DR-0999-0017-R,Regular Project,Flood Control
DR-0920-0005-R,Regular Project,Wind Retrofit
DR-0872-0005-R,Regular Project,Education and Awareness
DR-1173-M001-M,Management Costs,Management Costs and Technical Assistance
DR-1062-0024-R,Regular Project,Wind Retrofit
DR-1134-0128-R,Regular Project,Acquisitions
DR-1154-0016-R,Regular Project,Seismic Retrofit
DR-1175-0041-R,Regular Project,Utility and Infrastructure Protection
DR-0861-0021-R,Regular Project,Acquisitions
DR-1250-0007-F,HMGP 5% Initiative,Mitigation Planning
DR-1173-0017-R,Regular Project,Acquisitions
DR-1052-0008-R,Regular Project,Utility and Infrastructure Protection
DR-1175-0057-R,Regular Project,Wind Retrofit
DR-1173-0006-R,Regular Project,Acquisitions
DR-1134-0123-R,Regular Project,Elevations
DR-1096-0011-R,Regular Project,Acquisitions
DR-1242-0009-R,Regular Project,Utility and Infrastructure Protection
DR-1242-0010-R,Regular Project,Other Equipment
DR-1096-0018-R,Regular Project,Acquisitions
DR-1175-0046-R,Regular Project,Wind Retrofit
DR-1022-M003-M,Management Costs,Management Costs and Technical Assistance
DR-1242-0004-R,Regular Project,Wind Retrofit
DR-1242-0007-R,Regular Project,Utility and Infrastructure Protection
DR-1167-M001-M,Management Costs,Management Costs and Technical Assistance
DR-1135-0044-R,Regular Project,Other
DR-1062-0004-R,Regular Project,Flood Control
DR-1258-0001-R,Regular Project,Acquisitions
DR-0973-0043-R,Regular Project,Elevations
DR-1250-0026-R,Regular Project,Acquisitions
DR-1254-0006-F,HMGP 5% Initiative,"Feasibility, Engineering, and Design Studies"
DR-1240-0008-F,HMGP 5% Initiative,Mitigation Planning
DR-0866-0016-R,Regular Project,Flood Control
DR-1258-0006-F,HMGP 5% Initiative,"Feasibility, Engineering, and Design Studies"
DR-0996-0004-R,Regular Project,Acquisitions
DR-1250-0022-R,Regular Project,Acquisitions
DR-1230-0018-R,Regular Project,Utility and Infrastructure Protection
DR-1173-0018-R,Regular Project,Flood Control
